lat,lon,depth,strike,dip
-29.799999999999997,-70.19999999999999,82.255745,15.367256,12.665215
-29.799999999999997,-70.14999999999998,83.256454,16.739124,11.713888
-29.799999999999997,-70.10000000000002,84.17142,18.310942,10.80433
-29.799999999999997,-70.05000000000001,85.00443,20.101942,9.9422455
-29.799999999999997,-70.0,85.759575,22.13072,9.132098
-29.799999999999997,-69.94999999999999,86.44108,24.414513,8.377066
-29.799999999999997,-69.89999999999998,87.05327,26.968426,7.6790485
-29.799999999999997,-69.85000000000002,87.60048,29.804684,7.0387206
-29.799999999999997,-69.80000000000001,88.086945,32.93201,6.455621
-29.799999999999997,-69.75,88.51675,36.355255,5.928294
-29.799999999999997,-69.69999999999999,88.893776,40.075294,5.4544735
-29.799999999999997,-69.64999999999998,89.22169,44.089165,5.031299
-29.799999999999997,-69.60000000000002,89.50387,48.39021,4.655553
-29.799999999999997,-69.55000000000001,89.74342,52.967937,4.323887
-29.799999999999997,-69.5,89.94321,57.807186,4.0330234
-29.799999999999997,-69.44999999999999,90.105835,62.886395,3.7798798
-29.799999999999997,-69.39999999999998,90.23371,68.174995,3.56161
-29.799999999999997,-69.35000000000002,90.32909,73.63039,3.3755438
-29.799999999999997,-69.30000000000001,90.39409,79.19555,3.219031
-29.799999999999997,-69.25,90.4308,84.7987,3.0892184
-29.799999999999997,-69.19999999999999,90.44129,90.35596,2.9828205
-29.799999999999997,-69.14999999999998,90.42768,95.77723,2.8959405
-29.799999999999997,-69.10000000000002,90.392166,100.97428,2.8239992
-29.799999999999997,-69.05000000000001,90.33708,105.86877,2.7617908
-29.799999999999997,-69.0,90.26491,110.39825,2.703651
-29.799999999999997,-68.94999999999999,90.17828,114.51871,2.6437001
-29.799999999999997,-68.89999999999998,90.08003,118.20361,2.5761034
-29.799999999999997,-68.85000000000002,89.97314,121.439964,2.4953127
-29.799999999999997,-68.80000000000001,89.860725,124.22233,2.3962586
-29.799999999999997,-68.75,89.74607,126.54523,2.2744915
-29.799999999999997,-68.69999999999999,89.632545,128.39322,2.126275
-29.799999999999997,-68.64999999999998,89.523605,129.72598,1.9486533
-29.799999999999997,-68.60000000000002,89.42275,130.45125,1.7395267
-29.799999999999997,-68.55000000000001,89.3335,130.36534,1.4978055
-29.799999999999997,-68.5,89.25936,128.997,1.2238432
-29.799999999999997,-68.44999999999999,89.2038,125.09988,0.9209415
-29.799999999999997,-68.39999999999998,89.17019,114.45696,0.6024083
-29.799999999999997,-68.35000000000002,89.1618,78.44337,0.34311673
-29.799999999999997,-68.30000000000001,89.18176,15.523552,0.4388755
-29.799999999999997,-68.25,89.23301,352.4826,0.8174679
-29.799999999999997,-68.19999999999999,89.31824,344.70108,1.2734902
-29.799999999999997,-68.14999999999998,89.43988,341.23105,1.7668552
-29.799999999999997,-68.10000000000002,89.60003,339.43182,2.2853792
