lon_c,lat_c,depth,strike,dip,area_km2
-71.0,-28.6,43.24486645,16.1966226,25.40547445,434.22620742287853
-71.0,-28.400000000000002,40.3784397,15.5383175,24.8991025,435.04996605956455
-71.0,-28.200000000000003,37.742195550000005,14.43001275,24.2428339,435.8684237497077
-71.0,-28.0,35.3979397,13.088453950000002,23.511883349999998,436.681570520659
-71.0,-27.8,33.355469750000005,11.742121075,22.7731688,437.48939646448184
-71.0,-27.6,31.583634949999997,10.56700425,22.06943595,438.291891738072
-71.0,-27.400000000000002,30.032858049999998,9.616010075,21.418268050000002,439.0890465632779
-71.0,-27.200000000000003,28.65829335,8.832026299999999,20.81867115,439.88085122701943
-71.0,-27.0,27.43165275,8.110003254999999,20.2549417,440.6672960814067
-71.0,-26.8,26.34562135,7.29468212,19.7016827,441.4483715438572
-71.0,-26.6,25.42152625,6.14158779,19.1397543,442.2240680972132
-71.0,-26.400000000000002,24.7124962,4.4241062200000005,18.57762925,442.99437628985686
-71.0,-26.200000000000003,24.27851935,2.2298809425000004,18.0513443,443.75928673582587
-71.0,-26.0,24.13199345,144.14446203365,17.584453325,444.5187901149279
-71.0,-25.8,24.19500145,358.9772645,17.150062675,445.272877172854
-71.0,-25.6,24.314698749999998,323.1939439368,16.6980222,446.0215387212912
-71.0,-25.400000000000002,24.3329792,90.6123353685,16.2118047,446.76476563803504
-71.0,-25.200000000000003,24.15458795,2.613091995,15.71587135,447.5025488670998
-71.0,-25.0,23.9413994,3.89301342,15.415062299999999,448.23487941882996
-70.8,-30.0,68.871512375,8.68943296875,22.027225,428.3123216983501
-70.8,-29.8,67.47011675,9.338505375,22.1660751875,429.1729023165932
-70.8,-29.6,65.8939754375,10.67026846875,22.52683375,430.0282535984603
-70.8,-29.400000000000002,64.0231973125,12.4566185,23.112349,430.87836512176597
-70.8,-29.200000000000003,61.790215062499996,14.204222625,23.86206775,431.72322652816956
-70.8,-29.0,59.2137466875,15.4476505,24.6497645,432.56282752330145
-70.8,-28.8,56.3924746875,15.9649259375,25.333261875,433.39715787688846
-70.8,-28.6,53.4682825625,15.7776919375,25.8114733125,434.22620742287853
-70.8,-28.400000000000002,50.5853356875,15.03150590625,26.0464315625,435.04996605956455
-70.8,-28.200000000000003,47.8623204375,13.905064625,26.0540286875,435.8684237497077
-70.8,-28.0,45.377194,12.5898465625,25.8847838125,436.681570520659
-70.8,-27.8,43.160421125,11.2779380625,25.6040053125,437.48939646448184
-70.8,-27.6,41.2003279375,10.1116254375,25.272311625,438.291891738072
-70.8,-27.400000000000002,39.461299625,9.14503371875,24.9285971875,439.0890465632779
-70.8,-27.200000000000003,37.902951375,8.37111721875,24.5790575625,439.88085122701943
-70.8,-27.0,36.49060775,7.7514875625,24.1977866875,440.6672960814067
